iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN	Accuracy_SumError	Accuracy_SumWeight
476	116	120	116	1136	116	120	1136	10652	11676
477	116	120	116	1136	116	120	1136	10652	11676
478	116	120	116	1136	116	120	1136	10652	11676
479	117	121	117	1136	117	121	1136	10653	11676
480	117	121	117	1136	117	121	1136	10653	11676
481	117	121	117	1136	117	121	1136	10653	11676
482	117	121	117	1136	117	121	1136	10653	11676
483	116	120	116	1136	116	120	1136	10652	11676
484	116	120	116	1136	116	120	1136	10652	11676
485	116	120	116	1136	116	120	1136	10652	11676
486	118	122	118	1136	118	122	1136	10654	11676
487	117	121	117	1136	117	121	1136	10653	11676
488	118	122	118	1136	118	122	1136	10654	11676
489	118	122	118	1136	118	122	1136	10654	11676
490	118	122	118	1136	118	122	1136	10654	11676
491	118	122	118	1136	118	122	1136	10654	11676
492	118	122	118	1136	118	122	1136	10654	11676
493	119	123	119	1136	119	123	1136	10655	11676
494	119	123	119	1136	119	123	1136	10655	11676
495	119	123	119	1136	119	123	1136	10655	11676
496	119	123	119	1136	119	123	1136	10655	11676
497	122	126	122	1136	122	126	1136	10658	11676
498	122	126	122	1136	122	126	1136	10658	11676
499	122	126	122	1136	122	126	1136	10658	11676
500	126	130	126	1136	126	130	1136	10662	11676
501	127	131	127	1136	127	131	1136	10663	11676
502	127	132	127	1136	127	132	1136	10662	11676
503	128	133	128	1136	128	133	1136	10663	11676
504	127	132	127	1136	127	132	1136	10662	11676
505	127	132	127	1136	127	132	1136	10662	11676
506	126	131	126	1136	126	131	1136	10661	11676
507	127	132	127	1136	127	132	1136	10662	11676
508	127	132	127	1136	127	132	1136	10662	11676
509	129	134	129	1136	129	134	1136	10664	11676
510	130	135	130	1136	130	135	1136	10665	11676
511	132	137	132	1136	132	137	1136	10667	11676
512	132	137	132	1136	132	137	1136	10667	11676
513	132	137	132	1136	132	137	1136	10667	11676
514	133	138	133	1136	133	138	1136	10668	11676
515	133	138	133	1136	133	138	1136	10668	11676
516	135	140	135	1136	135	140	1136	10670	11676
517	135	140	135	1136	135	140	1136	10670	11676
518	135	140	135	1136	135	140	1136	10670	11676
519	134	139	134	1136	134	139	1136	10669	11676
520	135	140	135	1136	135	140	1136	10670	11676
521	135	140	135	1136	135	140	1136	10670	11676
522	136	141	136	1136	136	141	1136	10671	11676
523	137	142	137	1136	137	142	1136	10672	11676
524	138	143	138	1136	138	143	1136	10673	11676
525	145	150	145	1136	145	150	1136	10680	11676
526	145	150	145	1136	145	150	1136	10680	11676
527	145	150	145	1136	145	150	1136	10680	11676
528	145	150	145	1136	145	150	1136	10680	11676
529	146	151	146	1136	146	151	1136	10681	11676
530	145	150	145	1136	145	150	1136	10680	11676
531	147	152	147	1136	147	152	1136	10682	11676
532	147	152	147	1136	147	152	1136	10682	11676
533	147	152	147	1136	147	152	1136	10682	11676
534	147	152	147	1136	147	152	1136	10682	11676
535	147	152	147	1136	147	152	1136	10682	11676
536	147	152	147	1136	147	152	1136	10682	11676
537	148	153	148	1136	148	153	1136	10683	11676
538	148	153	148	1136	148	153	1136	10683	11676
539	148	153	148	1136	148	153	1136	10683	11676
540	148	153	148	1136	148	153	1136	10683	11676
541	149	154	149	1136	149	154	1136	10684	11676
542	149	154	149	1136	149	154	1136	10684	11676
543	149	154	149	1136	149	154	1136	10684	11676
544	149	154	149	1136	149	154	1136	10684	11676
545	150	155	150	1136	150	155	1136	10685	11676
546	150	155	150	1136	150	155	1136	10685	11676
547	150	155	150	1136	150	155	1136	10685	11676
548	149	154	149	1136	149	154	1136	10684	11676
549	149	154	149	1136	149	154	1136	10684	11676
550	149	154	149	1136	149	154	1136	10684	11676
551	149	154	149	1136	149	154	1136	10684	11676
552	150	155	150	1136	150	155	1136	10685	11676
553	150	155	150	1136	150	155	1136	10685	11676
554	150	155	150	1136	150	155	1136	10685	11676
555	152	157	152	1136	152	157	1136	10687	11676
556	152	157	152	1136	152	157	1136	10687	11676
557	153	158	153	1136	153	158	1136	10688	11676
558	153	158	153	1136	153	158	1136	10688	11676
559	153	158	153	1136	153	158	1136	10688	11676
560	153	158	153	1136	153	158	1136	10688	11676
561	153	158	153	1136	153	158	1136	10688	11676
562	153	158	153	1136	153	158	1136	10688	11676
563	153	158	153	1136	153	158	1136	10688	11676
564	153	158	153	1136	153	158	1136	10688	11676
565	153	158	153	1136	153	158	1136	10688	11676
566	153	158	153	1136	153	158	1136	10688	11676
567	153	158	153	1136	153	158	1136	10688	11676
568	154	159	154	1136	154	159	1136	10689	11676
